iter	RMSE
0	70.87620908
1	65.24246627
2	60.41003283
3	56.81741707
4	53.5854041
5	50.93191937
6	48.81533871
7	47.24439287
8	45.93533752
9	44.96001961
10	44.13205272
11	43.46636488
12	42.68971066
13	42.23557812
14	41.88270228
15	41.52073092
16	41.22456678
17	41.16270168
18	40.98792843
19	40.59792967
20	40.46815411
21	40.19346348
22	40.17816292
23	40.04377262
24	39.96768762
25	39.87748181
26	39.71422344
27	39.68711099
28	39.54630792
29	39.52479871
30	39.49028237
31	39.48501939
32	39.48499064
33	39.22400214
34	39.08751367
35	38.87354839
36	38.86367755
37	38.65140556
38	38.59577073
39	38.59165982
40	38.54874282
41	38.2973819
42	38.15833273
43	38.14877801
44	38.11516909
45	37.94507325
46	37.93841558
47	37.86307977
48	37.37948147
49	37.30744154
50	37.07893305
51	37.04165461
52	37.0076251
53	36.97505651
54	36.94955702
55	36.92721518
56	36.90469566
57	36.60845268
58	36.29093606
59	36.10005462
60	35.71461776
61	35.38700939
62	35.18606012
63	34.99803725
64	34.86364098
65	34.85457221
66	34.61265791
67	34.43378703
68	34.21158229
69	34.01840341
70	33.95017047
71	33.8829761
72	33.67547718
73	33.58418831
74	33.45967626
75	33.1988677
76	33.02657754
77	32.99053669
78	32.89515871
79	32.77856878
80	32.65643274
81	32.511565
82	32.37118066
83	32.24792796
84	32.06931933
85	31.95378631
86	31.82200136
87	31.70391232
88	31.61079143
89	31.46843512
90	31.3785122
91	31.28776247
92	31.24057092
93	31.12901671
94	31.05123354
95	30.9640614
96	30.89912066
97	30.83761522
98	30.74429505
99	30.66982419
100	30.58752834
101	30.54658038
102	30.46249366
103	30.43585417
104	30.34808298
105	30.28702969
106	30.19815848
107	30.15829194
108	30.08234665
109	30.04152054
110	29.96613069
111	29.90814849
112	29.86256664
113	29.7899718
114	29.75325147
115	29.68824845
116	29.5957892
117	29.56328184
118	29.49832804
119	29.43848104
120	29.39547888
121	29.36253005
122	29.28869385
123	29.2464913
124	29.20952717
125	29.16266085
126	29.13056979
127	29.08643795
128	29.06820448
129	29.00968446
130	28.97286212
131	28.89111694
132	28.85298977
133	28.81690029
134	28.78964871
135	28.72271551
136	28.68312197
137	28.66128492
138	28.60906217
139	28.57910427
140	28.53521446
141	28.50996387
142	28.48794948
143	28.44717275
144	28.40905761
145	28.38399443
146	28.35537363
147	28.34149781
148	28.31888047
149	28.29801191
150	28.27248185
151	28.25960998
152	28.22494873
153	28.15647906
154	28.13573781
155	28.1285486
156	28.10540858
157	28.09277758
158	28.07362708
159	28.06096328
160	28.05437532
161	28.03177757
162	28.01583517
163	27.99454065
164	27.97889998
165	27.95025241
166	27.94442236
167	27.9226192
168	27.89023473
169	27.87440483
170	27.84254346
171	27.8131193
172	27.76612138
173	27.75089886
174	27.74190078
175	27.71644721
176	27.7005768
177	27.69836914
178	27.66725784
179	27.65698424
180	27.62378224
181	27.59999271
182	27.57390383
183	27.56309811
184	27.54666478
185	27.52909139
186	27.50966374
187	27.49616852
188	27.48622886
189	27.4265482
190	27.40952095
191	27.38517967
192	27.36562967
193	27.34639882
194	27.32018228
195	27.30761455
196	27.29020851
197	27.28528165
198	27.26011815
199	27.24803045
200	27.23624929
201	27.22484114
202	27.20520821
203	27.19447594
204	27.17239341
205	27.17213851
206	27.15879178
207	27.13558849
208	27.12255457
209	27.11172027
210	27.10533473
211	27.0875101
212	27.07852692
213	27.07184335
214	27.06681497
215	27.03333295
216	27.02212542
217	27.01215242
218	26.99253442
219	26.98176338
220	26.97159834
221	26.96542286
222	26.95728406
223	26.94227021
224	26.93337699
225	26.91629679
226	26.91118165
227	26.90379007
228	26.85771923
229	26.84532684
230	26.83281924
231	26.80137913
232	26.77342253
233	26.76547099
234	26.75864813
235	26.75236301
236	26.74725563
237	26.73547375
238	26.71519763
239	26.70168466
240	26.69952595
241	26.69327909
242	26.68665707
243	26.65675936
244	26.65113919
245	26.64918722
246	26.64554038
247	26.63960286
248	26.63544137
249	26.62675631
250	26.62128655
251	26.60610233
252	26.59983353
253	26.58797992
254	26.57636705
255	26.56362312
256	26.56062129
257	26.55416498
258	26.55221863
259	26.5469619
260	26.53794746
261	26.5353866
262	26.53097748
263	26.5273345
264	26.50772758
265	26.50658664
266	26.47778412
267	26.47287556
